Date,USD_INR,USD_NPR
2023-10-26,83.1709976196289,133.07359619140627
2023-10-27,83.28250122070312,133.25200195312502
2023-10-30,83.41339874267578,133.46143798828126
2023-10-31,83.29650115966797,133.27440185546877
2023-11-01,83.2771987915039,133.24351806640627
2023-11-02,85.19400024414062,136.310400390625
2023-11-03,83.24729919433594,133.1956787109375
2023-11-06,83.15850067138672,133.05360107421876
2023-11-07,83.2228012084961,133.15648193359377
2023-11-08,83.23269653320312,133.172314453125
2023-11-09,83.21769714355469,133.1483154296875
2023-11-10,83.31939697265625,133.31103515625
2023-11-13,83.29889678955078,133.27823486328126
2023-11-14,83.19760131835938,133.116162109375
2023-11-15,82.98159790039062,132.77055664062502
2023-11-16,83.18620300292969,133.0979248046875
2023-11-17,83.12030029296875,132.99248046875002
2023-11-20,83.29149627685547,133.26639404296876
2023-11-21,83.32219696044922,133.31551513671874
2023-11-22,83.345703125,133.353125
2023-11-23,83.54830169677734,133.67728271484376
2023-11-24,83.34400177001953,133.35040283203125
2023-11-27,83.31449890136719,133.3031982421875
2023-11-28,83.364501953125,133.383203125
2023-11-29,83.41809844970703,133.46895751953124
2023-11-30,83.3302993774414,133.32847900390627
2023-12-01,83.35269927978516,133.36431884765625
2023-12-04,83.21859741210938,133.149755859375
2023-12-05,83.41709899902344,133.4673583984375
2023-12-06,83.31590270996094,133.3054443359375
2023-12-07,83.28959655761719,133.26335449218752
2023-12-08,83.35489654541016,133.36783447265626
2023-12-11,83.43009948730469,133.4881591796875
2023-12-12,83.34349822998047,133.34959716796877
2023-12-13,83.39600372314453,133.43360595703126
2023-12-14,83.2853012084961,133.25648193359376
2023-12-15,83.29660034179688,133.274560546875
2023-12-18,83.04170227050781,132.8667236328125
2023-12-19,83.11119842529297,132.97791748046876
2023-12-20,83.09159851074219,132.9465576171875
2023-12-21,83.26719665527344,133.2275146484375
2023-12-22,83.13159942626953,133.01055908203125
2023-12-25,83.16500091552734,133.06400146484376
2023-12-26,83.17230224609375,133.07568359375
2023-12-27,83.18280029296875,133.09248046875
2023-12-28,83.26719665527344,133.2275146484375
2023-12-29,82.302001953125,131.683203125
2024-01-01,83.24859619140625,133.19775390625
2024-01-02,83.20259857177734,133.12415771484376
2024-01-03,83.25700378417969,133.2112060546875
2024-01-04,83.31809997558594,133.3089599609375
2024-01-05,83.2406005859375,133.1849609375
2024-01-08,83.19110107421875,133.10576171875002
2024-01-09,83.05069732666016,132.88111572265626
2024-01-10,83.131103515625,133.009765625
2024-01-11,83.02559661865234,132.84095458984376
2024-01-12,83.07610321044922,132.92176513671876
2024-01-15,82.87210083007812,132.595361328125
2024-01-16,82.8593978881836,132.57503662109374
2024-01-17,83.08899688720703,132.94239501953126
2024-01-18,83.17759704589844,133.08415527343752
2024-01-19,83.16059875488281,133.0569580078125
2024-01-22,83.12470245361328,132.99952392578126
2024-01-23,83.09510040283203,132.95216064453126
2024-01-24,83.22139739990234,133.15423583984375
2024-01-25,83.09760284423828,132.95616455078127
2024-01-26,83.14610290527344,133.0337646484375
2024-01-29,83.12129974365234,132.99407958984375
2024-01-30,83.1530990600586,133.04495849609376
2024-01-31,83.10970306396484,132.97552490234375
2024-02-01,83.05359649658203,132.88575439453126
2024-02-02,82.92759704589844,132.6841552734375
2024-02-05,82.99929809570312,132.79887695312502
2024-02-06,83.10369873046875,132.96591796875
2024-02-07,83.07060241699219,132.9129638671875
2024-02-08,83.01260375976562,132.820166015625
2024-02-09,82.98529815673828,132.77647705078127
2024-02-12,83.0145034790039,132.82320556640624
2024-02-13,82.99019622802734,132.78431396484376
2024-02-14,83.07460021972656,132.91936035156252
2024-02-15,83.04309844970703,132.86895751953125
2024-02-16,83.00959777832031,132.81535644531252
2024-02-19,83.01599884033203,132.82559814453126
2024-02-20,83.02100372314453,132.83360595703127
2024-02-21,82.8291015625,132.5265625
2024-02-22,82.93840026855469,132.7014404296875
2024-02-23,82.87229919433594,132.5956787109375
2024-02-26,82.88179779052734,132.61087646484376
2024-02-27,82.85199737548828,132.56319580078124
2024-02-28,82.94819641113281,132.7171142578125
2024-02-29,82.91190338134766,132.65904541015627
2024-03-01,82.910400390625,132.656640625
2024-03-04,82.84609985351562,132.55375976562502
2024-03-05,82.9104995727539,132.65679931640625
2024-03-06,82.88480377197266,132.61568603515624
2024-03-07,82.81909942626953,132.51055908203125
2024-03-08,82.7522964477539,132.40367431640627
2024-03-11,82.7520980834961,132.40335693359376
2024-03-12,82.7782974243164,132.44527587890624
2024-03-13,82.83509826660156,132.5361572265625
2024-03-14,82.83110046386719,132.5297607421875
2024-03-15,82.9655990600586,132.74495849609374
2024-03-18,82.88890075683594,132.62224121093752
2024-03-19,82.86360168457031,132.5817626953125
2024-03-20,83.04239654541016,132.86783447265626
2024-03-21,83.05460357666016,132.88736572265626
2024-03-22,83.22660064697266,133.16256103515624
2024-03-25,83.59359741210938,133.749755859375
2024-03-26,83.41739654541016,133.46783447265625
2024-03-27,83.34549713134766,133.35279541015626
2024-03-28,83.36499786376953,133.38399658203124
2024-03-29,83.39299774169922,133.42879638671874
2024-04-01,83.36479949951172,133.38367919921876
2024-04-02,83.40969848632812,133.455517578125
2024-04-03,83.35030364990234,133.36048583984376
2024-04-04,83.37329864501953,133.39727783203125
2024-04-05,83.47779846191406,133.5644775390625
2024-04-08,83.29679870605469,133.2748779296875
2024-04-09,83.26959991455078,133.23135986328126
2024-04-10,83.22429656982422,133.15887451171875
2024-04-11,83.4126968383789,133.46031494140627
2024-04-12,83.34929656982422,133.35887451171877
2024-04-15,83.61109924316406,133.77775878906252
2024-04-16,83.50599670410156,133.6095947265625
2024-04-17,83.6675033569336,133.86800537109374
2024-04-18,83.5958023071289,133.75328369140627
2024-04-19,83.54499816894531,133.6719970703125
2024-04-22,83.38529968261719,133.4164794921875
2024-04-23,83.38619995117188,133.417919921875
2024-04-24,83.2833023071289,133.25328369140627
2024-04-25,83.3405990600586,133.34495849609377
2024-04-26,83.30180358886719,133.28288574218752
2024-04-29,83.40229797363281,133.4436767578125
2024-04-30,83.45110321044922,133.52176513671876
2024-05-01,83.49839782714844,133.5974365234375
2024-05-02,83.40640258789062,133.45024414062502
2024-05-03,83.40630340576172,133.45008544921876
2024-05-06,83.37999725341797,133.40799560546876
2024-05-07,83.4728012084961,133.55648193359374
2024-05-08,83.46990203857422,133.55184326171874
2024-05-09,83.46430206298828,133.54288330078126
2024-05-10,83.45939636230469,133.5350341796875
2024-05-13,83.5248031616211,133.63968505859376
2024-05-14,83.50550079345703,133.60880126953126
2024-05-15,83.52420043945312,133.63872070312502
2024-05-16,83.40509796142578,133.44815673828126
2024-05-17,83.47010040283203,133.55216064453126
2024-05-20,83.30039978027344,133.2806396484375
2024-05-21,83.31500244140625,133.30400390625002
2024-05-22,83.31680297851562,133.306884765625
2024-05-23,83.26709747314453,133.22735595703125
2024-05-24,83.2863998413086,133.25823974609375
2024-05-27,83.05220031738281,132.8835205078125
2024-05-28,83.14569854736328,133.03311767578126
2024-05-29,83.20649719238281,133.1303955078125
2024-05-30,83.3656005859375,133.3849609375
2024-05-31,83.3208999633789,133.31343994140624
2024-06-03,83.45079803466797,133.52127685546876
2024-06-04,83.09339904785156,132.9494384765625
2024-06-05,83.62940216064453,133.80704345703126
2024-06-06,83.38079833984375,133.40927734375
2024-06-07,83.47309875488281,133.5569580078125
2024-06-10,83.52760314941406,133.6441650390625
2024-06-11,83.52980041503906,133.6476806640625
2024-06-12,83.5968017578125,133.7548828125
2024-06-13,83.5343017578125,133.6548828125
2024-06-14,83.52210235595703,133.63536376953127
2024-06-17,83.55180358886719,133.6828857421875
2024-06-18,83.51010131835938,133.616162109375
2024-06-19,83.37409973144531,133.3985595703125
2024-06-20,83.41950225830078,133.47120361328126
2024-06-21,83.60160064697266,133.76256103515627
2024-06-24,83.5625,133.70000000000002
2024-06-25,83.46040344238281,133.5366455078125
